# team: grant
# label: baseline_05
# timestamp: 20260227_143736
# sample_rate: 250
# samples: 1416
# duration_sec: 5.666
# channels: EMG1,EMG2
#
timestamp,EMG1,EMG2
1772221051.2511375,713.0,859.0
1772221051.2591374,721.0,860.0
1772221051.2587097,717.0,864.0
1772221051.2667096,713.0,865.0
1772221051.266767,708.0,858.0
1772221051.274767,713.0,862.0
1772221051.2726524,719.0,863.0
1772221051.2806523,718.0,864.0
1772221051.291504,714.0,859.0
1772221051.2995038,714.0,858.0
1772221051.2925467,713.0,863.0
1772221051.3005466,718.0,863.0
1772221051.2973125,720.0,857.0
1772221051.3053124,713.0,851.0
1772221051.306974,713.0,858.0
1772221051.3149738,710.0,866.0
1772221051.312591,709.0,863.0
1772221051.320591,703.0,855.0
1772221051.3220446,709.0,855.0
1772221051.3300445,711.0,860.0
1772221051.3357742,711.0,866.0
1772221051.343774,701.0,859.0
1772221051.337302,711.0,856.0
1772221051.3453019,715.0,859.0
1772221051.3474345,716.0,864.0
1772221051.3554344,711.0,855.0
1772221051.3521905,721.0,855.0
1772221051.3601904,721.0,862.0
1772221051.3617857,721.0,864.0
1772221051.3697855,716.0,858.0
1772221051.3704066,712.0,856.0
1772221051.3784065,712.0,860.0
1772221051.383884,715.0,864.0
1772221051.3918839,712.0,858.0
1772221051.3854125,720.0,854.0
1772221051.3934124,718.0,861.0
1772221051.3940842,717.0,868.0
1772221051.402084,716.0,863.0
1772221051.4176054,709.0,857.0
1772221051.4256053,710.0,854.0
1772221051.4176054,725.0,854.0
1772221051.4256053,722.0,866.0
1772221051.4302623,717.0,862.0
1772221051.4382622,715.0,859.0
1772221051.4320686,714.0,863.0
1772221051.4400685,717.0,863.0
1772221051.4356265,715.0,852.0
1772221051.4436264,720.0,849.0
1772221051.4422667,712.0,859.0
1772221051.4502666,710.0,862.0
1772221051.4504006,719.0,858.0
1772221051.4584005,721.0,859.0
1772221051.458962,715.0,867.0
1772221051.4669619,716.0,866.0
1772221051.4843817,714.0,859.0
1772221051.4923816,719.0,859.0
1772221051.485391,718.0,859.0
1772221051.4933908,716.0,860.0
1772221051.487492,715.0,861.0
1772221051.495492,711.0,858.0
1772221051.509937,709.0,858.0
1772221051.517937,712.0,853.0
1772221051.5120227,715.0,852.0
1772221051.5200226,722.0,859.0
1772221051.5345805,714.0,860.0
1772221051.5425804,719.0,866.0
1772221051.5345805,720.0,863.0
1772221051.5425804,716.0,849.0
1772221051.5376627,711.0,854.0
1772221051.5456626,714.0,866.0
1772221051.5424144,723.0,866.0
1772221051.5504143,712.0,857.0
1772221051.5446842,709.0,860.0
1772221051.552684,718.0,856.0
1772221051.5456915,717.0,855.0
1772221051.5536914,718.0,856.0
1772221051.5538726,714.0,850.0
1772221051.5618725,712.0,860.0
1772221051.5704522,718.0,864.0
1772221051.578452,715.0,859.0
1772221051.572505,708.0,856.0
1772221051.580505,715.0,858.0
1772221051.578947,716.0,867.0
1772221051.586947,713.0,857.0
1772221051.585572,715.0,859.0
1772221051.593572,711.0,860.0
1772221051.5939996,713.0,864.0
1772221051.6019995,719.0,862.0
1772221051.6035228,716.0,857.0
1772221051.6115227,714.0,858.0
1772221051.6196713,716.0,859.0
1772221051.6276712,716.0,855.0
1772221051.6196713,718.0,845.0
1772221051.6276712,719.0,853.0
1772221051.6274412,711.0,866.0
1772221051.635441,717.0,859.0
1772221051.6322432,719.0,843.0
1772221051.640243,714.0,858.0
1772221051.6434333,716.0,873.0
1772221051.6514332,713.0,871.0
1772221051.6535158,709.0,855.0
1772221051.6615157,709.0,846.0
1772221051.6671464,723.0,859.0
1772221051.6751463,722.0,865.0
1772221051.668669,711.0,858.0
1772221051.676669,720.0,857.0
1772221051.6742735,717.0,857.0
1772221051.6822734,713.0,863.0
1772221051.6821778,717.0,857.0
1772221051.6901777,711.0,856.0
1772221051.688891,710.0,856.0
1772221051.6968908,727.0,859.0
1772221051.697772,719.0,859.0
1772221051.705772,714.0,855.0
