# team: grant
# label: fist_downout_07
# timestamp: 20260227_144631
# sample_rate: 250
# samples: 1326
# duration_sec: 5.325
# channels: EMG1,EMG2
#
timestamp,EMG1,EMG2
1772221586.2973197,705.0,863.0
1772221586.3053195,706.0,852.0
1772221586.3040638,711.0,856.0
1772221586.3120637,710.0,856.0
1772221586.3076704,710.0,857.0
1772221586.3156703,715.0,853.0
1772221586.3207653,713.0,864.0
1772221586.3287652,704.0,864.0
1772221586.323955,697.0,863.0
1772221586.331955,709.0,860.0
1772221586.332159,711.0,846.0
1772221586.340159,709.0,851.0
1772221586.340768,706.0,865.0
1772221586.348768,708.0,863.0
1772221586.3576472,712.0,856.0
1772221586.365647,706.0,858.0
1772221586.3596113,703.0,860.0
1772221586.3676112,703.0,858.0
1772221586.363282,705.0,860.0
1772221586.3712819,713.0,858.0
1772221586.3708165,717.0,858.0
1772221586.3788164,706.0,856.0
1772221586.3801591,700.0,861.0
1772221586.388159,692.0,864.0
1772221586.3892465,698.0,859.0
1772221586.3972464,719.0,854.0
1772221586.3942227,712.0,857.0
1772221586.4022226,707.0,853.0
1772221586.4038007,710.0,848.0
1772221586.4118006,711.0,853.0
1772221586.4104605,709.0,862.0
1772221586.4184604,710.0,862.0
1772221586.4191816,705.0,860.0
1772221586.4271815,703.0,854.0
1772221586.437379,709.0,861.0
1772221586.4453788,718.0,860.0
1772221586.4529345,715.0,858.0
1772221586.4609344,708.0,858.0
1772221586.4549744,706.0,864.0
1772221586.4629743,710.0,863.0
1772221586.4848769,710.0,850.0
1772221586.4928768,705.0,850.0
1772221586.4848769,711.0,854.0
1772221586.4928768,701.0,852.0
1772221586.4963255,698.0,862.0
1772221586.5043254,706.0,858.0
1772221586.4963255,714.0,858.0
1772221586.5043254,704.0,860.0
1772221586.5008082,705.0,856.0
1772221586.5088081,715.0,852.0
1772221586.5024033,720.0,847.0
1772221586.5104032,713.0,854.0
1772221586.5045164,703.0,858.0
1772221586.5125163,705.0,865.0
1772221586.507469,708.0,866.0
1772221586.5154688,708.0,856.0
1772221586.5152617,708.0,852.0
1772221586.5232615,710.0,856.0
1772221586.5239315,706.0,860.0
1772221586.5319314,708.0,855.0
1772221586.5314012,709.0,852.0
1772221586.539401,712.0,850.0
1772221586.5482278,701.0,854.0
1772221586.5562277,703.0,866.0
1772221586.550762,707.0,859.0
1772221586.5587618,718.0,860.0
1772221586.5553563,717.0,865.0
1772221586.5633562,708.0,862.0
1772221586.5639887,706.0,860.0
1772221586.5719886,709.0,854.0
1772221586.5799527,709.0,856.0
1772221586.5879526,715.0,855.0
1772221586.5819883,709.0,856.0
1772221586.5899882,709.0,851.0
1772221586.6043024,713.0,848.0
1772221586.6123023,704.0,858.0
1772221586.6043024,713.0,857.0
1772221586.6123023,709.0,859.0
1772221586.6074896,705.0,862.0
1772221586.6154895,703.0,859.0
1772221586.610748,710.0,861.0
1772221586.618748,710.0,863.0
1772221586.6281571,713.0,860.0
1772221586.636157,704.0,851.0
1772221586.630176,713.0,853.0
1772221586.638176,713.0,854.0
1772221586.6347327,713.0,856.0
